"dian_yuan_shu","vip_shu","zong_jian_shu","ling_shou_jia_zong_e","zhe_kou_zong_e","vip_shi_ji_xiao_shou_e","ping_jun_wen_du","ke_liu_liang","shi_ji_xiao_shou_zong_e"
"9","13","74","66097.000","21257.000","17315.000","17","0","44840.000"
"10","13","53","55926.000","17604.000","14816.000","11","0","38322.000"
"8","7","31","32830.000","9323.000","5282.000","12","0","23507.000"
"10","7","71","63817.000","26567.000","5917.000","11","0","37250.000"
"10","12","68","66653.000","28636.190","10043.000","14","0","38016.810"
"10","12","106","99745.000","37984.000","11108.000","16","0","61761.000"
"12","14","113","101627.000","30817.000","23817.000","18","0","70810.000"
"10","8","64","50977.000","17107.000","6840.000","20","0","33870.000"
"10","5","33","32278.000","11778.000","4198.000","21","0","20500.000"
"9","9","59","49971.000","15638.000","19346.000","22","0","34333.000"
"9","8","54","47379.000","16019.000","11586.000","21","0","31360.000"
"9","12","82","74716.000","20507.000","17870.000","21","0","54209.000"
"10","10","66","54625.000","13509.000","15510.000","21","0","41116.000"
"9","10","66","57747.000","14527.000","9777.000","18","0","43220.000"
"8","14","46","45658.000","10514.000","22364.000","19","0","35144.000"
"9","7","37","31680.000","7091.000","7528.000","20","0","24589.000"
"8","8","54","53461.000","13840.000","9823.000","16","0","39621.000"
"8","10","81","67955.000","20302.000","19427.000","14","0","47653.000"
"9","11","48","48428.000","14903.000","9368.000","12","0","33525.000"
"9","10","87","99590.000","31845.000","11403.000","12","0","67745.000"
"9","10","95","112458.000","44578.000","8736.000","12","0","67880.000"
"8","9","84","83353.000","32689.000","11600.000","13","0","50664.000"
"9","14","80","80016.000","23466.000","19366.000","14","0","56550.000"
"8","8","57","51248.000","15687.000","16057.000","16","0","35561.000"
"7","8","41","37090.000","9072.000","10670.000","17","0","28018.000"
"7","12","68","56086.000","14765.000","12392.000","13","0","41321.000"
"5","15","95","85399.000","24425.000","17190.000","13","0","60974.000"
"5","18","79","71444.000","19515.000","15015.000","14","0","51929.000"
"5","10","58","65955.000","15529.000","17451.000","16","0","50426.000"
"5","8","85","66532.000","15081.000","13604.000","16","0","51451.000"
"6","7","88","71213.000","15349.000","9012.000","16","0","55864.000"
"5","13","98","76757.000","15645.000","14100.000","18","0","61112.000"
"5","3","36","25718.000","6364.000","2109.000","18","0","19354.000"
"5","8","25","19610.000","3167.000","8502.000","20","0","16443.000"
"5","5","27","21678.000","6492.000","6934.000","18","0","15186.000"
"4","3","15","18403.000","5987.000","2502.000","14","0","12416.000"
"4","7","22","16171.000","4731.000","3216.000","17","0","11440.000"
"4","5","21","16365.000","2626.000","3663.000","17","0","13739.000"
"4","5","22","17802.000","3157.000","5781.000","17","0","14645.000"
"5","8","27","19185.000","1333.000","11554.000","18","0","17852.000"
"4","3","18","11623.000","217.000","1950.000","20","0","11406.000"
"4","7","25","14556.000","1078.000","7150.000","19","0","13478.000"
"5","10","30","15350.000","743.000","6673.000","17","0","14607.000"
"4","4","14","12860.000","493.000","3527.000","14","0","12367.000"
"5","5","19","12532.000","520.000","4672.000","11","0","12012.000"
"4","7","22","17000.000","1533.000","6883.000","12","0","15467.000"
"5","6","21","15922.000","671.000","5420.000","11","0","15251.000"
"6","9","30","19113.000","815.000","6557.000","13","0","18298.000"
"5","3","24","13817.000","376.000","2741.000","15","0","13441.000"
"2","1","4","2206.000","177.000","1590.000","17","21","2029.000"
"1","0","1","499.000","0.000","0.000","17","31","499.000"
"1","0","1","569.000","0.000","0.000","17","45","569.000"
"2","1","4","2366.000","0.000","0.000","17","53","2366.000"
"1","1","3","1517.000","108.000","970.000","17","48","1409.000"
"3","3","5","2645.000","233.000","1805.000","17","55","2412.000"
"2","4","7","4223.000","423.000","3800.000","17","64","3800.000"
"1","1","1","1190.000","0.000","0.000","17","52","1190.000"
"1","1","4","5148.000","415.000","3734.000","17","101","4733.000"
